Site Name ,CRL2438
Site Number ,243
Logger ,Integrating Light Sensor
Logger Serial Number ,2488


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,22/08/2022 , 12:30:30,0,0
2,22/08/2022 , 12:31:00,0,0
3,22/08/2022 , 12:31:30,0,0
4,22/08/2022 , 12:32:00,0,0
5,22/08/2022 , 12:32:30,1,1
6,22/08/2022 , 12:33:00,0,0
7,22/08/2022 , 12:33:30,0,0
8,22/08/2022 , 12:34:00,0,0
9,22/08/2022 , 12:34:30,0,0
10,22/08/2022 , 12:35:00,0,0
11,22/08/2022 , 12:35:30,0,0
12,22/08/2022 , 12:36:00,0,0
13,22/08/2022 , 12:36:30,0,0
14,22/08/2022 , 12:37:00,0,0
15,22/08/2022 , 12:37:30,0,0
16,22/08/2022 , 12:38:00,0,0
17,22/08/2022 , 12:38:30,0,0
18,22/08/2022 , 12:39:00,0,0
19,22/08/2022 , 12:39:30,0,0
20,22/08/2022 , 12:40:00,0,0
21,22/08/2022 , 12:40:30,1,1
22,22/08/2022 , 12:41:00,0,0
23,22/08/2022 , 12:41:30,0,0
24,22/08/2022 , 12:42:00,0,0
25,22/08/2022 , 12:42:30,0,0
26,22/08/2022 , 12:43:00,0,0
27,22/08/2022 , 12:43:30,0,0
28,22/08/2022 , 12:44:00,0,0
29,22/08/2022 , 12:44:30,0,0
30,22/08/2022 , 12:45:00,0,0
31,22/08/2022 , 12:45:30,0,0
32,22/08/2022 , 12:46:00,0,0
33,22/08/2022 , 12:46:30,0,0
34,22/08/2022 , 12:47:00,0,0
35,22/08/2022 , 12:47:30,0,0
36,22/08/2022 , 12:48:00,0,0
37,22/08/2022 , 12:48:30,0,0
38,22/08/2022 , 12:49:00,0,0
39,22/08/2022 , 12:49:30,0,0
40,22/08/2022 , 12:50:00,0,0
41,22/08/2022 , 12:50:30,0,0
42,22/08/2022 , 12:51:00,0,0
43,22/08/2022 , 12:51:30,1,1
44,22/08/2022 , 12:52:00,0,0
45,22/08/2022 , 12:52:30,0,0
46,22/08/2022 , 12:53:00,0,0
47,22/08/2022 , 12:53:30,2,2
48,22/08/2022 , 12:54:00,2,2
49,22/08/2022 , 12:54:30,1,1
50,22/08/2022 , 12:55:00,2,2
51,22/08/2022 , 12:55:30,2,2
52,22/08/2022 , 12:56:00,4,4
53,22/08/2022 , 12:56:30,7,7
54,22/08/2022 , 12:57:00,8,8
55,22/08/2022 , 12:57:30,6,6
56,22/08/2022 , 12:58:00,12,12
57,22/08/2022 , 12:58:30,23,23
58,22/08/2022 , 12:59:00,95,95
59,22/08/2022 , 12:59:30,126,126
60,22/08/2022 , 13:00:00,115,115
61,22/08/2022 , 13:00:30,115,115
62,22/08/2022 , 13:01:00,246,246
63,22/08/2022 , 13:01:30,360,360
64,22/08/2022 , 13:02:00,214,214
65,22/08/2022 , 13:02:30,192,192
66,22/08/2022 , 13:03:00,318,318
67,22/08/2022 , 13:03:30,393,393
68,22/08/2022 , 13:04:00,394,394
69,22/08/2022 , 13:04:30,507,507
70,22/08/2022 , 13:05:00,501,501
71,22/08/2022 , 13:05:30,542,542
72,22/08/2022 , 13:06:00,342,342
73,22/08/2022 , 13:06:30,251,251
74,22/08/2022 , 13:07:00,312,312
75,22/08/2022 , 13:07:30,331,331
76,22/08/2022 , 13:08:00,313,313
77,22/08/2022 , 13:08:30,342,342
78,22/08/2022 , 13:09:00,444,444
79,22/08/2022 , 13:09:30,349,349
80,22/08/2022 , 13:10:00,262,262
81,22/08/2022 , 13:10:30,244,244
82,22/08/2022 , 13:11:00,243,243
83,22/08/2022 , 13:11:30,245,245
84,22/08/2022 , 13:12:00,243,243
85,22/08/2022 , 13:12:30,244,244
86,22/08/2022 , 13:13:00,244,244
87,22/08/2022 , 13:13:30,272,272
88,22/08/2022 , 13:14:00,328,328
89,22/08/2022 , 13:14:30,341,341
90,22/08/2022 , 13:15:00,419,419
91,22/08/2022 , 13:15:30,461,461
92,22/08/2022 , 13:16:00,410,410
93,22/08/2022 , 13:16:30,335,335
94,22/08/2022 , 13:17:00,219,219
95,22/08/2022 , 13:17:30,210,210
96,22/08/2022 , 13:18:00,214,214
97,22/08/2022 , 13:18:30,221,221
98,22/08/2022 , 13:19:00,226,226
99,22/08/2022 , 13:19:30,230,230
100,22/08/2022 , 13:20:00,236,236
101,22/08/2022 , 13:20:30,237,237
102,22/08/2022 , 13:21:00,235,235
103,22/08/2022 , 13:21:30,238,238
104,22/08/2022 , 13:22:00,240,240
105,22/08/2022 , 13:22:30,235,235
106,22/08/2022 , 13:23:00,226,226
107,22/08/2022 , 13:23:30,213,213
108,22/08/2022 , 13:24:00,200,200
109,22/08/2022 , 13:24:30,191,191
110,22/08/2022 , 13:25:00,184,184
111,22/08/2022 , 13:25:30,187,187
112,22/08/2022 , 13:26:00,194,194
