Site Name ,CRL7273
Site Number ,72
Logger ,Integrating Light Sensor
Logger Serial Number ,7273


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,22/08/2022 , 12:30:30,1,1
2,22/08/2022 , 12:31:00,1,1
3,22/08/2022 , 12:31:30,1,1
4,22/08/2022 , 12:32:00,1,1
5,22/08/2022 , 12:32:30,1,1
6,22/08/2022 , 12:33:00,1,1
7,22/08/2022 , 12:33:30,1,1
8,22/08/2022 , 12:34:00,1,1
9,22/08/2022 , 12:34:30,1,1
10,22/08/2022 , 12:35:00,1,1
11,22/08/2022 , 12:35:30,1,1
12,22/08/2022 , 12:36:00,1,1
13,22/08/2022 , 12:36:30,1,1
14,22/08/2022 , 12:37:00,1,1
15,22/08/2022 , 12:37:30,1,1
16,22/08/2022 , 12:38:00,1,1
17,22/08/2022 , 12:38:30,1,1
18,22/08/2022 , 12:39:00,1,1
19,22/08/2022 , 12:39:30,1,1
20,22/08/2022 , 12:40:00,1,1
21,22/08/2022 , 12:40:30,1,1
22,22/08/2022 , 12:41:00,1,1
23,22/08/2022 , 12:41:30,1,1
24,22/08/2022 , 12:42:00,1,1
25,22/08/2022 , 12:42:30,1,1
26,22/08/2022 , 12:43:00,1,1
27,22/08/2022 , 12:43:30,1,1
28,22/08/2022 , 12:44:00,1,1
29,22/08/2022 , 12:44:30,1,1
30,22/08/2022 , 12:45:00,1,1
31,22/08/2022 , 12:45:30,1,1
32,22/08/2022 , 12:46:00,1,1
33,22/08/2022 , 12:46:30,0,0
34,22/08/2022 , 12:47:00,1,1
35,22/08/2022 , 12:47:30,1,1
36,22/08/2022 , 12:48:00,1,1
37,22/08/2022 , 12:48:30,1,1
38,22/08/2022 , 12:49:00,1,1
39,22/08/2022 , 12:49:30,1,1
40,22/08/2022 , 12:50:00,1,1
41,22/08/2022 , 12:50:30,2,2
42,22/08/2022 , 12:51:00,1,1
43,22/08/2022 , 12:51:30,1,1
44,22/08/2022 , 12:52:00,1,1
45,22/08/2022 , 12:52:30,1,1
46,22/08/2022 , 12:53:00,1,1
47,22/08/2022 , 12:53:30,1,1
48,22/08/2022 , 12:54:00,2,2
49,22/08/2022 , 12:54:30,2,2
50,22/08/2022 , 12:55:00,1,1
51,22/08/2022 , 12:55:30,2,2
52,22/08/2022 , 12:56:00,2,2
53,22/08/2022 , 12:56:30,0,0
54,22/08/2022 , 12:57:00,1,1
55,22/08/2022 , 12:57:30,0,0
56,22/08/2022 , 12:58:00,21,21
57,22/08/2022 , 12:58:30,24,24
58,22/08/2022 , 12:59:00,39,39
59,22/08/2022 , 12:59:30,137,137
60,22/08/2022 , 13:00:00,142,142
61,22/08/2022 , 13:00:30,143,143
62,22/08/2022 , 13:01:00,96,96
63,22/08/2022 , 13:01:30,314,314
64,22/08/2022 , 13:02:00,39,39
65,22/08/2022 , 13:02:30,17,17
66,22/08/2022 , 13:03:00,2,2
67,22/08/2022 , 13:03:30,66,66
68,22/08/2022 , 13:04:00,176,176
69,22/08/2022 , 13:04:30,268,268
70,22/08/2022 , 13:05:00,297,297
71,22/08/2022 , 13:05:30,335,335
72,22/08/2022 , 13:06:00,288,288
73,22/08/2022 , 13:06:30,199,199
74,22/08/2022 , 13:07:00,301,301
75,22/08/2022 , 13:07:30,272,272
76,22/08/2022 , 13:08:00,226,226
77,22/08/2022 , 13:08:30,342,342
78,22/08/2022 , 13:09:00,394,394
79,22/08/2022 , 13:09:30,330,330
80,22/08/2022 , 13:10:00,77,77
81,22/08/2022 , 13:10:30,104,104
82,22/08/2022 , 13:11:00,106,106
83,22/08/2022 , 13:11:30,106,106
84,22/08/2022 , 13:12:00,105,105
85,22/08/2022 , 13:12:30,104,104
86,22/08/2022 , 13:13:00,105,105
87,22/08/2022 , 13:13:30,121,121
88,22/08/2022 , 13:14:00,150,150
89,22/08/2022 , 13:14:30,150,150
90,22/08/2022 , 13:15:00,186,186
91,22/08/2022 , 13:15:30,208,208
92,22/08/2022 , 13:16:00,183,183
93,22/08/2022 , 13:16:30,150,150
94,22/08/2022 , 13:17:00,95,95
95,22/08/2022 , 13:17:30,94,94
96,22/08/2022 , 13:18:00,95,95
97,22/08/2022 , 13:18:30,98,98
98,22/08/2022 , 13:19:00,100,100
99,22/08/2022 , 13:19:30,100,100
100,22/08/2022 , 13:20:00,102,102
101,22/08/2022 , 13:20:30,100,100
102,22/08/2022 , 13:21:00,100,100
103,22/08/2022 , 13:21:30,99,99
104,22/08/2022 , 13:22:00,101,101
105,22/08/2022 , 13:22:30,101,101
106,22/08/2022 , 13:23:00,96,96
107,22/08/2022 , 13:23:30,89,89
108,22/08/2022 , 13:24:00,84,84
109,22/08/2022 , 13:24:30,80,80
110,22/08/2022 , 13:25:00,79,79
111,22/08/2022 , 13:25:30,80,80
112,22/08/2022 , 13:26:00,83,83
