Site Name ,CRL11848
Site Number ,118
Logger ,Integrating Light Sensor
Logger Serial Number ,11848


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,22/08/2022 , 12:30:30,0,0
2,22/08/2022 , 12:31:00,0,0
3,22/08/2022 , 12:31:30,1,1
4,22/08/2022 , 12:32:00,0,0
5,22/08/2022 , 12:32:30,1,1
6,22/08/2022 , 12:33:00,0,0
7,22/08/2022 , 12:33:30,1,1
8,22/08/2022 , 12:34:00,0,0
9,22/08/2022 , 12:34:30,1,1
10,22/08/2022 , 12:35:00,0,0
11,22/08/2022 , 12:35:30,1,1
12,22/08/2022 , 12:36:00,0,0
13,22/08/2022 , 12:36:30,1,1
14,22/08/2022 , 12:37:00,0,0
15,22/08/2022 , 12:37:30,1,1
16,22/08/2022 , 12:38:00,0,0
17,22/08/2022 , 12:38:30,1,1
18,22/08/2022 , 12:39:00,0,0
19,22/08/2022 , 12:39:30,1,1
20,22/08/2022 , 12:40:00,0,0
21,22/08/2022 , 12:40:30,1,1
22,22/08/2022 , 12:41:00,0,0
23,22/08/2022 , 12:41:30,1,1
24,22/08/2022 , 12:42:00,1,1
25,22/08/2022 , 12:42:30,0,0
26,22/08/2022 , 12:43:00,1,1
27,22/08/2022 , 12:43:30,0,0
28,22/08/2022 , 12:44:00,1,1
29,22/08/2022 , 12:44:30,0,0
30,22/08/2022 , 12:45:00,1,1
31,22/08/2022 , 12:45:30,0,0
32,22/08/2022 , 12:46:00,1,1
33,22/08/2022 , 12:46:30,0,0
34,22/08/2022 , 12:47:00,1,1
35,22/08/2022 , 12:47:30,0,0
36,22/08/2022 , 12:48:00,1,1
37,22/08/2022 , 12:48:30,0,0
38,22/08/2022 , 12:49:00,1,1
39,22/08/2022 , 12:49:30,0,0
40,22/08/2022 , 12:50:00,1,1
41,22/08/2022 , 12:50:30,0,0
42,22/08/2022 , 12:51:00,1,1
43,22/08/2022 , 12:51:30,1,1
44,22/08/2022 , 12:52:00,0,0
45,22/08/2022 , 12:52:30,1,1
46,22/08/2022 , 12:53:00,0,0
47,22/08/2022 , 12:53:30,2,2
48,22/08/2022 , 12:54:00,3,3
49,22/08/2022 , 12:54:30,3,3
50,22/08/2022 , 12:55:00,2,2
51,22/08/2022 , 12:55:30,2,2
52,22/08/2022 , 12:56:00,14,14
53,22/08/2022 , 12:56:30,29,29
54,22/08/2022 , 12:57:00,28,28
55,22/08/2022 , 12:57:30,24,24
56,22/08/2022 , 12:58:00,28,28
57,22/08/2022 , 12:58:30,81,81
58,22/08/2022 , 12:59:00,143,143
59,22/08/2022 , 12:59:30,152,152
60,22/08/2022 , 13:00:00,159,159
61,22/08/2022 , 13:00:30,162,162
62,22/08/2022 , 13:01:00,390,390
63,22/08/2022 , 13:01:30,569,569
64,22/08/2022 , 13:02:00,403,403
65,22/08/2022 , 13:02:30,437,437
66,22/08/2022 , 13:03:00,492,492
67,22/08/2022 , 13:03:30,408,408
68,22/08/2022 , 13:04:00,496,496
69,22/08/2022 , 13:04:30,505,505
70,22/08/2022 , 13:05:00,526,526
71,22/08/2022 , 13:05:30,642,642
72,22/08/2022 , 13:06:00,625,625
73,22/08/2022 , 13:06:30,471,471
74,22/08/2022 , 13:07:00,468,468
75,22/08/2022 , 13:07:30,475,475
76,22/08/2022 , 13:08:00,475,475
77,22/08/2022 , 13:08:30,491,491
78,22/08/2022 , 13:09:00,517,517
79,22/08/2022 , 13:09:30,447,447
80,22/08/2022 , 13:10:00,387,387
81,22/08/2022 , 13:10:30,362,362
82,22/08/2022 , 13:11:00,355,355
83,22/08/2022 , 13:11:30,357,357
84,22/08/2022 , 13:12:00,354,354
85,22/08/2022 , 13:12:30,351,351
86,22/08/2022 , 13:13:00,352,352
87,22/08/2022 , 13:13:30,473,473
88,22/08/2022 , 13:14:00,525,525
89,22/08/2022 , 13:14:30,503,503
90,22/08/2022 , 13:15:00,586,586
91,22/08/2022 , 13:15:30,656,656
92,22/08/2022 , 13:16:00,652,652
93,22/08/2022 , 13:16:30,518,518
94,22/08/2022 , 13:17:00,351,351
95,22/08/2022 , 13:17:30,307,307
96,22/08/2022 , 13:18:00,313,313
97,22/08/2022 , 13:18:30,318,318
98,22/08/2022 , 13:19:00,329,329
99,22/08/2022 , 13:19:30,334,334
100,22/08/2022 , 13:20:00,336,336
101,22/08/2022 , 13:20:30,336,336
102,22/08/2022 , 13:21:00,335,335
103,22/08/2022 , 13:21:30,345,345
104,22/08/2022 , 13:22:00,360,360
105,22/08/2022 , 13:22:30,368,368
106,22/08/2022 , 13:23:00,346,346
107,22/08/2022 , 13:23:30,303,303
108,22/08/2022 , 13:24:00,278,278
109,22/08/2022 , 13:24:30,263,263
110,22/08/2022 , 13:25:00,261,261
111,22/08/2022 , 13:25:30,264,264
112,22/08/2022 , 13:26:00,273,273
